Field,Type,Null,Key,Default,Extra
EmploymentID,int(11),NO,PRI,NULL,auto_increment
PSN,varchar(50),YES,UNI,NULL,
MDAs,varchar(100),NO,,NULL,
Unit/Section,varchar(50),YES,,NULL,
WorkStation,varchar(50),YES,,NULL,
JobTitle,varchar(50),YES,,NULL,
Rank,varchar(255),YES,,NULL,
SalaryStructure,varchar(60),YES,,NULL,
GradeLevel/Step,varchar(15),NO,,NULL,
Fixed,tinyint(1),YES,,0,
AppointmentCategory,varchar(50),NO,,NULL,
ComfirmationDate,datetime,YES,,NULL,
ApplDate,datetime,YES,,NULL,
CivilServiceForm,datetime,YES,,NULL,
TemporaryApptDate,datetime,YES,,NULL,
PermanentApptDate,datetime,YES,,NULL,
AppointmentAuthorisation,varchar(70),NO,,NULL,
NameofMDAs,varchar(100),YES,,NULL,
DateonAcceptanceLetter,datetime,YES,,NULL,
